,What is your age?,What is your Gender?,Which region in Kenya do you currently reside in?,"How aware are you about the environmental issues?(1 being the lowest,5 being the highest)",Do you actively engage in environment-friendly practices in your daily life?,I am confident in my ability to distinguish between different eco-labels when shopping for products.,Have you ever encountered multiple eco-labels on similar products?,How often do you find it challenging to understand the environmental implications of a product based on its eco-label?,Are you familiar with the KEBS (Kenya Bureau of Standards) standard mark?,How much trust do you place in products that bear the KEBS label when it comes to quality and safety?,Have you intentionally purchased products with the KEBS label because of its perceived quality and safety standards?,To what extent do you associate the KEBS label with government oversight and regulation?,Do you believe that products with the KEBS label are more reliable and safer than those without it?,How likely are you to choose a product with the KEBS label over a similar product without it?
76,35-44,0.0,3,3,0.0,2,0,4,1,2.0,0,4,1,5
77,35-44,0.0,1,4,1.0,4,0,4,1,5.0,1,5,1,5
78,35-44,0.0,5,5,1.0,5,1,4,1,5.0,1,5,1,5
79,25-34,0.0,5,3,1.0,3,1,3,1,3.0,1,2,0,4
80,25-34,0.0,5,5,1.0,2,0,3,1,5.0,1,5,1,5
81,55-64,0.0,2,4,1.0,4,1,5,1,3.0,1,4,0,5
82,18-24,1.0,5,3,1.0,3,1,5,0,2.0,0,1,0,2
83,25-34,0.0,5,3,1.0,3,0,5,1,3.0,0,3,1,3
84,25-34,0.0,5,5,0.0,3,1,4,1,3.0,1,4,0,1
85,55-64,0.0,3,3,1.0,4,1,3,1,5.0,1,4,1,4
86,18-24,1.0,5,3,1.0,3,1,3,1,3.0,1,3,0,4
87,35-44,0.0,3,5,1.0,5,1,4,1,5.0,1,5,1,5
88,18-24,1.0,4,5,1.0,4,0,4,1,5.0,1,5,1,5
89,25-34,0.0,1,4,1.0,3,0,5,1,2.0,1,4,1,5
90,25-34,0.0,5,3,1.0,1,0,5,1,2.0,1,5,1,5
91,25-34,1.0,5,3,1.0,3,0,5,1,2.0,1,5,1,5
92,25-34,1.0,5,3,1.0,4,0,5,1,2.0,1,4,1,4
93,45-54,0.0,3,4,1.0,3,0,3,1,2.0,1,4,1,5
94,25-34,0.0,5,4,0.0,3,0,3,1,2.0,1,4,1,4
95,25-34,0.0,3,4,1.0,5,1,3,1,5.0,1,5,1,5
96,18-24,0.0,5,5,1.0,4,0,4,1,3.0,1,4,1,5
97,,1.0,5,4,1.0,4,0,4,1,5.0,1,5,1,5
98,45-54,0.0,5,5,1.0,5,0,5,1,5.0,1,5,1,5
99,25-34,0.0,5,4,1.0,3,1,3,1,3.0,1,2,0,1
100,35-44,0.0,1,5,1.0,1,0,5,1,5.0,1,5,1,1
101,35-44,0.0,3,4,1.0,3,1,3,1,3.0,1,4,1,5
102,25-34,1.0,5,5,1.0,4,1,4,1,5.0,1,5,1,5
103,25-34,1.0,5,1,1.0,3,0,4,1,3.0,1,3,0,4
104,25-34,1.0,5,5,1.0,3,1,4,1,,1,2,0,5
105,35-44,1.0,2,2,1.0,4,0,5,1,5.0,1,5,1,5
106,18-24,0.0,5,1,0.0,3,0,5,1,,0,3,0,4
107,18-24,1.0,5,3,1.0,2,0,4,1,3.0,1,2,0,4
108,35-44,0.0,5,4,1.0,4,0,5,1,5.0,1,5,1,5
109,18-24,1.0,5,5,1.0,1,1,4,1,2.0,1,4,1,4
110,18-24,1.0,5,4,1.0,3,0,4,1,5.0,1,5,1,5
111,18-24,0.0,5,4,1.0,3,0,3,1,5.0,1,5,1,5
112,18-24,,5,5,1.0,5,1,2,1,5.0,1,4,1,5
113,35-44,1.0,3,3,1.0,2,1,3,1,5.0,1,4,1,5
114,25-34,0.0,3,4,1.0,4,1,4,1,5.0,1,5,1,5
